companyLabel,countryLabel,shipsBuilt
Q7640197,Республика Корея,7
Q6402927,Бангладеш,7
Q23870433,Финляндия,7
Q16178368,Республика Корея,7
Q16178368,Генерал-губернаторство Корея,7
Q15883932,Нидерланды,7
Q55855572,Китай,7
Q3295104,Италия,7
Q6068515,,7
Q54874672,,7
Q1497107,Германия,7
Q15844307,Германия,7
Q1065535,Великобритания,6
Q5221477,Вольный город Данциг,6
Джеймс Бьюкенен Идс,,6
Q4700638,Норвегия,6
Бенетти,Италия,6
Судостроительная фирма «Алмаз»,Россия,6
Arctech Helsinki Shipyard,Финляндия,6
Бордо,Франция,6
Q112567704,США,6
Q11557417,Япония,6
Q7301399,США,6
Море,Россия,6
Море,Украина,6
Q128934855,Нидерланды,6
Keppel Corporation,Сингапур,6
Q11357149,Япония,6
Военно-морской арсенал в городе Лорьян,Франция,6
Шербур-Октевиль,Франция,6
Q5149939,США,6
Q110417803,,6
Q2868910,Франция,6
Q1563326,Германия,6
Q109803205,Нидерланды,6
Q1673688,Германия,6
Q22671523,Германия,6
Q7545370,Канада,6
Q43082510,Финляндия,6
Q43082510,Российская империя,6
Q55956844,Норвегия,6
Николаевское адмиралтейство,Украина,6
Q8016906,,6
Q85817257,Турция,6
Q7569501,США,6
Q4884035,США,6
Q134397568,США,6
Q358236,Германия,6
Q4834532,США,6
Q135243259,Нидерланды,6
Q10680683,Швеция,6
China Merchants,Китай,6
Q136910929,Республика Корея,6
Сен-Назер,Франция,6
Q90428675,Норвегия,6
Q658546,Франция,6
Израильские верфи,Израиль,6
Q22569571,Нидерланды,6
Китайская корпорация тяжелого судостроения,Китай,6
Q16295511,Великобритания,6
Q124159675,Дания,6
Q2880314,Германия,6
Q2880314,Германский рейх,6
Q25382933,Великобритания,6
Q1184638,Германия,6
Q134077306,Нидерланды,6
Q59535663,Польша,6
Q16536348,Италия,6
Q16323193,Дания,6
Q4700633,США,6
Q107974496,Германия,6
Q1979526,Германия,5
Q50335714,Нидерланды,5
Q10474960,Швеция,5
Q12501564,Индонезия,5
Alstom,Франция,5
Q95509547,Франция,5
Q97219031,Турция,5
Tenix Pty Limited,Австралия,5
Mitsui Group,Япония,5
J & G Thomson,,5
JFE Holdings,Япония,5
Q2126194,Нидерланды,5
Q7676048,Китай,5
Q95511941,Франция,5
Q6350748,Норвегия,5
Голландская Ост-Индская компания,Республика Соединённых провинций,5
Арсенал,Италия,5
Пендик,Турция,5
Q6964934,Великобритания,5
Q130425493,Индонезия,5
Q3655755,Италия,5
Q11964703,Дания,5
Q6241099,,5
Q1485970,Королевство Пруссия,5
Q1485970,Вольный город Данциг,5
Q1537695,Великобритания,5
Q2956404,Франция,5
Q105443139,Германия,5
Q1103714,Великобритания,5
Q5358613,Греция,5
Венеция,Италия,5
Q11502551,Япония,5
Philip and Son,Великобритания,5
Q2262344,,5
Q1540429,Великобритания,5
Q12310534,,5
Q97695107,Бельгия,5
Q125206384,Египет,5
Q124546881,Испания,5
Q56235954,Сербия,5
Q7197204,,5
Q6449578,Великобритания,5
Q4666725,,5
Q67076454,,5
