companyLabel,countryLabel,shipsBuilt,avgLength,latestYear,companyCoordinates
Q2956389,Канада,60,157.84769230769230769231,1986,Point(-71.1667 46.8333)
Q7885783,США,60,4410,1918,Point(-122.419444444 37.775)
Q28721321,Китай,60,174.32696491228070175439,2022,
Q301348,Дания,59,83.63036363636363636364,2008,Point(10.2216 56.1558)
Q2593294,Великобритания,59,51.45,1868,Point(0.056111111 51.494444444)
Q3655767,Италия,58,117.33206896551724137931,1981,Point(8.933983333 44.407186111)
Meyer Turku,Финляндия,58,161.91707272727272727273,2026,Point(22.266944444 60.451666666)
Q52503328,Норвегия,58,69.41392857142857142857,2018,Point(6.654019444 58.284988888)
Q7988166,США,57,138.8025,1944,Point(-122.419444444 37.775)
Q11294418,Япония,57,125.50814814814814814815,2011,Point(138.383 34.976944444)
Q3655776,Италия,56,163.463125,2024,Point(12.250099 45.05984)
Stabilimento Tecnico Triestino,Италия,56,160.24210526315789473684,1920,Point(13.770277777 45.650277777)
Norfolk Naval Shipyard,США,56,535.147,1995,Point(-76.297222222 36.815277777)
Выборгский судостроительный завод,Россия,56,109.96442307692307692308,2020,Point(28.749722222 60.710555555)
Q6103890,США,56,134.6,1945,Point(-80.843333333 35.226944444)
Q52287703,Норвегия,56,92.74740740740740740741,2021,Point(6.2721793 62.54844)
Q104520543,Нидерланды,56,38.54,2019,Point(4.8381 51.8256)
Военно-морской арсенал в Йокосуке,Японская империя,55,205.5499375,1944,Point(139.66 35.29)
Q18343360,Норвегия,55,137.66307692307692307692,2010,
Q55402501,Румыния,55,100.17796296296296296296,2020,Point(27.961407 45.245637)
Арсенал в Картахене,Испания,54,107.286,1936,Point(-0.98861111 37.60031111)
Q12740726,Румыния,54,77.95,2021,Point(22.655555555 44.636111111)
Q16575033,Испания,54,137.06851063829787234043,2022,Point(-8.740277777 42.225277777)
Damen Shipyards Group,Нидерланды,53,97.83465116279069767442,2023,Point(4.974166666 51.830555555)
Q318326,Германия,53,42.07521739130434782609,2025,Point(8.616666666 53.166666666)
Q318326,Германский рейх,53,42.07521739130434782609,2025,Point(8.616666666 53.166666666)
Q1025914,Великобритания,53,123.8225,1920,
Q2295400,Великобритания,53,97.85454545454545454545,1982,Point(-1.17 54.58)
Q111972124,Португалия,53,54.19361702127659574468,2014,Point(-9.139299 38.706288)
Q1439358,Норвегия,52,120.73923076923076923077,2015,Point(9.955555555 63.5875)
Q114403355,Республика Корея,51,266.12733333333333333333,2023,Point(126.3049 34.68623)
Q5541573,США,50,0,1901,Point(-71.042 42.293)
Q20065184,Великобритания,50,159.37777777777777777778,1931,Point(-5.93 54.596666666)
Q84609765,Нидерланды,50,53.384,2012,Point(4.5592 52.2128)
Дешимаг,Нацистская Германия,49,127.90469696969696969697,1939,Point(8.807222222 53.075833333)
Дешимаг,Веймарская республика,49,127.90469696969696969697,1939,Point(8.807222222 53.075833333)
Q621541,Великобритания,49,76.85638297872340425532,2003,Point(-4.1945 51.0525)
Mare Island NSY,США,49,160.968125,1930,Point(-122.263333 38.09)
Q6351825,Норвегия,49,134.08862068965517241379,1991,Point(10.399107 59.266248)
Q248036,Великобритания,48,73.41,2000,Point(-4.66 55.54)
Q845144,Норвегия,48,81.57409090909090909091,1982,Point(10.4 63.44)
Q889362,Германия,48,49.99206521739130434783,2003,Point(9.6 47.595833333)
Q1032384,Канада,48,243.9225,1966,Point(-73.5868411 45.5033426)
Q11162731,Норвегия,48,180.58394736842105263158,1979,Point(5.731388888 58.97)
Q23042271,Норвегия,48,56.34230769230769230769,1978,Point(5.7122413 59.8341145)
Q22266452,Испания,48,40.99021276595744680851,2016,Point(-8.74111111 42.225)
Q56605049,Китай,48,142.08180851063829787234,2019,
Q108941303,Испания,48,60.70347826086956521739,2012,Point(-0.376388888 39.47)
Q623503,Великобритания,47,165.47058823529411764706,1930,Point(-4.1978 55.8486)
Янтарь (судостроительный завод),Россия,47,109.9456,2018,Point(20.5 54.716666666)
Oregon Shipbuilding Corporation,США,47,200.74555555555555555556,1964,Point(-122.666666666 45.516666666)
Виккерс,Великобритания,47,173.58533333333333333333,2003,Point(-3.216666666 54.116666666)
Q14329180,Германия,47,40.31409090909090909091,2020,Point(7.056506 50.777145)
Q17773943,Норвегия,47,145.90028571428571428571,1987,Point(10.918366 59.2106952)
Q50136501,Норвегия,47,74.55739130434782608696,2022,Point(7.080345 62.635591)
Q56249339,Нидерланды,47,90.61244444444444444444,2002,Point(6.103613 53.215015)
STX Finland,Финляндия,46,165.14471739130434782609,2015,Point(22.266944444 60.451666666)
Q3817603,Финляндия,46,233.09782608695652173913,2004,
Q11394144,Япония,46,134.49409090909090909091,2025,Point(133.205444444 34.409111111)
Q52276032,Норвегия,46,74.66976744186046511628,2011,Point(5.848611111 62.343055555)
Lürssen Werft,Германия,45,96.90540540540540540541,2023,Point(8.59 53.17)
